Release date,Product,Platform,Impact,Max Severity,Article,Article (Link),Download,Download (Link),Build Number,Details,Details (Link)
"May 16, 2025",Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,136.0.3240.76,CVE-2025-4609,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-4609
"May 16, 2025",Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,136.0.3240.76,CVE-2025-4664,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-4664
"May 15, 2025",Microsoft Defender for Endpoint for Linux,,Elevation of Privilege,Important,Release Notes,https://learn.microsoft.com/en-us/defender-endpoint/linux-whatsnew#releases-for-defender-for-endpoint-on-linux,Security Update,,101.25022.0002,CVE-2025-47161,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-47161
"May 13, 2025",Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30393,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30393
"May 13, 2025",Microsoft Office LTSC for Mac 2021,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30393,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30393
"May 13, 2025",Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30383,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30383
"May 13, 2025",Microsoft Office LTSC for Mac 2021,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30383,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30383
"May 13, 2025",Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30381,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30381
"May 13, 2025",Microsoft Office LTSC for Mac 2021,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30381,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30381
"May 13, 2025",Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30379,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30379
"May 13, 2025",Microsoft Office LTSC for Mac 2021,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30379,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30379
"May 13, 2025",Microsoft Office LTSC for Mac 2024,,Remote Code Execution,Important,Release Notes,https://go.microsoft.com/fwlink/p/?linkid=831049,Security Update,https://go.microsoft.com/fwlink/p/?linkid=831049,16.97.25042725,CVE-2025-30375,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-30375
